year,mean_native_cover,mean_invasive_cover,cells_restored,biomats_deployed,restored_area_ha,biodiversity_proxy,active_biomats
65,0.213014695451286,0.7542437289285199,2117,8125,2117.0,0.2337,250
66,0.2158940766646678,0.7468297472401052,2157,8250,2157.0,0.242,250
67,0.21875576014457884,0.7394700072977166,2169,8375,2169.0,0.2459,250
68,0.22085302589278052,0.7386585686643065,2169,8500,2169.0,0.2515,250
69,0.22302051643151968,0.7393952345364567,2187,8625,2187.0,0.251,250
70,0.22532301399842808,0.7404045778057192,2228,8750,2228.0,0.251,250
71,0.22767473657947962,0.739907715643449,2340,8875,2340.0,0.2528,250
72,0.22991637407218554,0.7388072275225928,2405,9000,2405.0,0.2556,250
73,0.23269362744639102,0.7328054123415071,2451,9125,2451.0,0.264,250
74,0.2355705296887336,0.7259073112536808,2471,9250,2471.0,0.277,250
75,0.2383822314736297,0.7205482624508603,2473,9375,2473.0,0.2788,250
